山西频道,#genre#
醉陈桥,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cbqprgbc77u9uk8alj5g&ratio=720p&line=0
穆桂英挂帅,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cbh523jc77ub8u9r6om0&ratio=720p&line=0
/杨八姐游春,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cduvp0rc77u1jta5kh5g&ratio=720p&line=0
张爱珍秦香莲,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ckrfqk7og65v767b2rbg&ratio=720p&line=0
张爱珍选段,https://videohhhttps.sxrtv.com/sx_source/video/2022/6/27/1656318921_988.mp4
陈素琴选段一,https://videohhhttps.sxrtv.com/sx_source/video/2022/8/22/1661132747_529.mp4
陈素琴选段二,https://videohhhttps.sxrtv.com/sx_source/video/2022/7/4/1656926405_536.mp4
杜建萍选段,https://videohhhttps.sxrtv.com/sx_source/video/2022/8/1/1659360310_24.mp4
庆功楼,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ccvarbrc77u9qo0aim30&ratio=720p&line=0
闯幽州1,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cdg6e2bc77u3lniqf5bg&ratio=720p&line=0
闯幽州2,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ccp3htbc77ua1or7rp6g&ratio=720p&line=0
收姜维,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cdfrtibc77u85rhck480&ratio=720p&line=0
五世请缨,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ccq04gjc77u1sr4q6dr0&ratio=720p&line=0
两地家书,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cdei9qrc77u6jecc0if0&ratio=720p&line=0
秦香莲/杀庙/大堂,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ce23143c77ucgufcrjj0&ratio=720p&line=0
法门寺/拾玉镯/大佛殿,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ce28br3c77u05g3tlbr0&ratio=720p&line=0
千秋长平,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000ccvm233c77u0jeugfn10&ratio=720p&line=0
王宝钏,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ckssfpvog65htur1kjk0&ratio=720p&line=0
杨门女将,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cderchrc77u2c9t9h4c0&ratio=720p&line=0
法门寺选段,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cm04jtjc77ubjb9lr2og&ratio=720p&line=0
哑女告状上,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000ce974ubc77u1os9u2abg&ratio=720p&line=0
哑女告状下,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ce97cabc77u4p1tglhk0&ratio=720p&line=0
探寒窑/排宴,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ce01rkjc77ubleva8dtg&ratio=720p&line=0
调寇/坐宫/打龙袍,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000ce0cn6jc77u7rskipbag&ratio=720p&line=0
驿站/斥子/出征,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ce9k243c77u1jtf8328g&ratio=720p&line=0
宿店/闯宫/琵琶词,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ce21gijc77u1jtbgikfg&ratio=720p&line=0
郭金顺东门会,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cdc7dtrc77ubtcuvfreg&ratio=720p&line=0
坐宫/探母,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ce1b2i3c77ublevs0ong&ratio=720p&line=0
別窑/武家坡,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ce0nq23c77u0jq2stbkg&ratio=720p&line=0
算粮/登殿,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ce0tghrc77u4219qa8og&ratio=720p&line=0
打龙袍,http://vod.jinnews.com.cn/video/2022/01/30/bb28f5d6123681b90f538230c848ac34.mp4
晋剧望海楼台,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cnjq5bvog65k30d6d8sg&ratio=720p&line=0
太行娘亲,http://vod.jinnews.com.cn/video/2022/01/30/543ab24a7ac6bdda72a2cb8ab726f272.mp4
申纪兰,http://vod.jinnews.com.cn/video/2022/01/30/d2196b53d83e3469657678ca8326c93e.mp4
郝经,http://vod.jinnews.com.cn/video/2022/01/29/75cadbf056ab115f3e18fabdeb28ba4b.mp4
沁岭花开,http://vod.jinnews.com.cn/video/2022/01/29/3f1660452d41a5edfe3acd739fd85951.mp4
狸猫换太子上,https://pull-hs1.vzan.com/11796025/010466124783266770/replay.1708783118.97000916.m3u8
狸猫换太子下,https://pull-hs1.vzan.com/11796025/453717426526308386/replay.1709042781.65850112.m3u8
我爱上党戏3,https://v3bj.vzan.com/11796025/643213692484282217/replay.1694856371.42396061.m3u8
汉阳堂,https://pull-hs1.vzan.com/11796025/864791370888776844/replay.1708868972.91997644.m3u8
宋宫血泪,https://pull-hs1.vzan.com/11796025/496538714612197985/replay.1708956859.08180155.m3u8
窦娥冤,https://pull-hs1.vzan.com/11796025/524265363183352014/replay.1708524074.52053798.m3u8
吴汉杀妻,https://pull-hs1.vzan.com/11796025/263635077275021275/replay.1708266544.21672195.m3u8
大祭桩,https://pull-hs1.vzan.com/11796025/249777501415580999/replay.1708438552.59735439.m3u8
我爱上党戏1,https://v3bj.vzan.com/11796025/069899660655548326/replay.1700385702.74653686.m3u8
我爱上党戏3,https://v3bj.vzan.com/11796025/643213692484282217/replay.1694856371.42396061.m3u8
我爱上党戏4,https://v3bj.vzan.com/11796025/741727404984321978/replay.1681640408.18342200.m3u8
大登殿,https://v3bj.vzan.com/11796025/618673205017674404/replay.1675780034.15265048.m3u8
法门寺,https://v3bj.vzan.com/11796025/163825632333670877/replay.1675696580.55865238.m3u8
金水桥,https://v3bj.vzan.com/11796025/427432900225615755/replay.1675607753.99900375.m3u8
蝴蝶梦,https://v3bj.vzan.com/11796025/739223413164535244/replay.1675520211.35263760.m3u8
打金枝,https://v3bj.vzan.com/11796025/221968432484580650/replay.1675433216.20404542.m3u8
秦香莲,https://v3bj.vzan.com/11796025/676146579934005006/replay.1675350473.60238768.m3u8
党的女儿,https://v3bj.vzan.com/11796025/008715445263302481/replay.1675259552.41491526.m3u8
吴汉杀妻,https://i3.vzan.cc/mps/20230201/25a317fbc6e545f789bbe8635d1c9eae/89ea3ebad9d94d7da51bf1641e36dece.m3u8
雁门关,https://i3.vzan.cc/clip/11796025/1329806706/e1a35a8817c140d79c88a940b4c6caf5.m3u8
我爱上党戏5,https://v3bj.vzan.com/11796025/719754045045887152/replay.1675072048.38174516.m3u8
八音会,https://i3.vzan.cc/clip/11796025/527789196/4894cc37a4f64f1ca6fc6fa8900c6de5.m3u8
我爱上党戏6,https://qvod2.vzan.com/clip/11796025/1087374382/f42bc9b2f1ae4f2cbc6dcc2001a41774.m3u8
佘杨缘,https://pull-hs1.vzan.com/11796025/772340198958324499/replay.1708611456.12203807.m3u8
名家演唱,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cl3pfrvog65gce5jdjbg&ratio=720p&line=0
赵树理,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cfn2iorc77u4p2vh81t0&ratio=720p&line=0
雁门关,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cffrer3c77u42fbi48gg&ratio=720p&line=0
红鬃烈马,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ce632mbc77u7mal1h7d0&ratio=720p&line=0
风雨行宫,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cco6e5jc77ub97ecaaa0&ratio=720p&line=0
忠烈千秋,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cb97s53c77u78uojo2dg&ratio=720p&line=0
江姐,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cc9jhhrc77ua9ab3ahi0&ratio=720p&line=0
忠保国,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cbi8io3c77u1u9cik0qg&ratio=720p&line=0
状元媒,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cbqq0pbc77ua7rfre8dg&ratio=720p&line=0
混冤案,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cbqp643c77u04huteovg&ratio=720p&line=0
徐策跑城,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c7heigbc77uej28npc6g&ratio=720p&line=0
精彩豫剧,#genre#
余洪招婿,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000ck160ofog65ok4s6jkl0&ratio=720p&line=0
包青天,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000ce2257jc77u7rslqcjeg&ratio=720p&line=0
怒铡许翠萍,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cgrvvobc77uepdqrdmkg&ratio=720p&line=0
豫剧五世请缨,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cgdt2lrc77u4hoccsm9g&ratio=720p&line=0
单娘,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cbds0gjc77u1kcij799g&ratio=720p&line=0
秦雪梅,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cefai83c77u7rsnemug0&ratio=720p&line=0
抢棺材,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000c95r69rc77uc5gtvlrv0&ratio=720p&line=0
张伯行,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ce3ciljc77ucgu80t4rg&ratio=720p&line=0
春秋配,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c2mon0bc77u0464c0geg&ratio=720p&line=0
三娘教子,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c8f814rc77ucoimqk1bg&ratio=720p&line=0
七品芝麻官,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cbvk44bc77u4pnet9br0&ratio=720p&line=0
花打朝,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300f370000bt2cri7hh85r60a8qd30&ratio=720p&line=0
坐桥,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cdjm9n3c77u61rhq3rpg&ratio=720p&line=0
穆桂英下山,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cm5h2ffog65vg488lcmg&ratio=720p&line=0
豫剧白毛女,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cb986s3c77u4bopr1c10&ratio=720p&line=0
豫剧对花枪,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cb9tvsbc77u0m8c6h0i0&ratio=720p&line=0
豫剧三哭殿,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cbbqlcjc77u7o17rmi50&ratio=720p&line=0
豫剧三女拜寿,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000ck03h6fog65so764cbr0&ratio=720p&line=0
豫剧王熙凤,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000caes08bc77ufo3f1f5gg&ratio=720p&line=0
豫剧五女拜寿,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cfq0qlrc77uflnjnvrv0&ratio=720p&line=0
豫剧林冲,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cfq0qgrc77uass20vkkg&ratio=720p&line=0
豫剧风雪配,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000cel5mf3c77u77dabve5g&ratio=720p&line=0
豫剧三打金枝,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cbf98mjc77ucath0ls50&ratio=720p&line=0
豫剧穆桂英挂帅,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000cb064djc77u59roppfsg&ratio=720p&line=0
豫剧花枪缘,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c6o7r7jc77u0itsl5p4g&ratio=720p&line=0
豫剧丹水颂,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c5v8amrc77ub957aab0g&ratio=720p&line=0
豫剧宝莲灯,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c3h5larc77u1fa6fdmv0&ratio=720p&line=0
杨八姐游春,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c3cul43c77ufgl3fjid0&ratio=720p&line=0
豫剧常香玉,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000ci6jttnog65qdm1i2250&ratio=720p&line=0
豫剧三拂袖,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000ci6jpq7og65llj8u0fpg&ratio=720p&line=0
豫剧萧何月下追韩信,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000ci2q3hnog65hhm2ql9t0&ratio=720p&line=0
豫剧梨花归唐,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000chn17rvog65lljdv4tmg&ratio=720p&line=0
豫剧程婴救孤,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000chn0vgnog65uijc1ehq0&ratio=720p&line=0
豫剧清风亭,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000chjmvjnog65ve19ae8f0&ratio=720p&line=0
豫剧朝阳沟,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000chhm9ivog65naclr2pig&ratio=720p&line=0
豫剧红梅记，https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000chh2ejvog65otas4ogpg&ratio=720p&line=0
豫剧倒霉大叔的婚事,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000chg52tvog65q58vv7fjg&ratio=720p&line=0
豫剧焦裕禄,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000chfmer7og65otft5uu60&ratio=720p&line=0
豫剧包青天,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0200fg10000ch5qgdrc77uc2e32abf0&ratio=720p&line=0
经典电影,#genre#
地道战,https://s6.bfzycdn.com/video/didaozhangaoqingban/HD/index.m3u8
地雷战,https://cdn.wls911.com:777/20220415/gpCtZ766/index.m3u8
刘三姐,https://v1.1080tg.com/202308/19/3aYAHdn8qW2/video/index.m3u8
上甘岭,https://s2.bfzycdn.com/video/shangganling/HD%E5%9B%BD%E8%AF%AD/index.m3u8
白毛女电影,https://s2.bfzycdn.com/video/baimaonv/HD%E5%9B%BD%E8%AF%AD/index.m3u8
阿诗玛,https://s3.bfzycdn.com/video/ashima/HD%E5%9B%BD%E8%AF%AD/index.m3u8
五朵金花,https://s2.bfzycdn.com/video/wuduojinhua/HD%E5%9B%BD%E8%AF%AD/index.m3u8
沙家浜,https://s3.bfzycdn.com/video/shajiabang/HD%E5%9B%BD%E8%AF%AD/index.m3u8
铁道游击队,https://s2.bfzycdn.com/video/tiedaoyoujidui/HD%E5%9B%BD%E8%AF%AD/index.m3u8
小兵张嘎,https://s1.bfzycdn.com/video/xiaobingzhangga/HD%E4%B8%AD%E5%AD%97%E7%89%88/index.m3u8
闪闪的红星,https://s4.bfzycdn.com/video/shanshandehongxing1974/HD%E5%9B%BD%E8%AF%AD/index.m3u8
英雄儿女,https://s1.bfzycdn.com/video/yingxiongernv/HD%E5%9B%BD%E8%AF%AD/index.m3u8
高山下的花环,https://s3.bfzycdn.com/video/gaoshanxiadehuahuan/HD%E5%9B%BD%E8%AF%AD/index.m3u8
少林寺,https://s2.bfzycdn.com/video/shaolinsi/HD%E5%9B%BD%E8%AF%AD/index.m3u8
笨人王老大,https://s1.bfzycdn.com/video/benrenwanglaoda/HD%E5%9B%BD%E8%AF%AD/index.m3u8
喜盈门,https://s2.bfzycdn.com/video/xiyingmen/HD%E5%9B%BD%E8%AF%AD/index.m3u8
妈妈再爱我一次,https://s2.bfzycdn.com/video/mamazaiaiwoyici1988/HD%E5%9B%BD%E8%AF%AD/index.m3u8
牧马人,https://s2.bfzycdn.com/video/mumaren/HD%E5%9B%BD%E8%AF%AD/index.m3u8
庐山恋,https://s2.bfzycdn.com/video/lushanlian/HD%E5%9B%BD%E8%AF%AD/index.m3u8
沸腾的群山,https://vip1.lz-cdn1.com/20220422/3016_9be1442e/index.m3u8
野火春风斗古城,https://v1.suoni-qiyi.com/202308/20/sbQW3NrxS02/video/index.m3u8
烈火中永生,https://v1.suoni-qiyi.com/202308/20/0Y2hAxpkfa2/video/index.m3u8
红色娘子军,https://new-video-xz.004307.com/20190902/MJUKbx5V/index.m3u8
柳堡的故事,https://dh5.cntv.myalicdn.com/asp/h5e/hls/1200/0303000a/3/default/68f7a9af33bd487a81ab44f84403a425/1200.m3u8
碧海红波,https://baidu.1080tg.com/20211017/NZiY05Ta/index.m3u8
林海雪原,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/5023f1dcc73b4090962ee31e017fb8e3/850.m3u8
万水千山,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/8804d527d9d94b818b42624730203fa9/850.m3u8
渡江侦察记,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/d708e9c64aa34519af5490a793756c38/850.m3u8
智取华山,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/ef243e3fa20544df9cc24b72ace8efa0/850.m3u8
苦菜花,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/ec47d310d888464f8446af5e6e04ded8/850.m3u8
三进山城,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/ee157540ff2540ada0250edf3f6a3e0a/850.m3u8
突破乌江,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/bf8ccfff8bc949a6a2ed6bcda45eb4e2/850.m3u8
鸡毛信,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/41fcf9fefcf247c78e2d64c7af5d6edd/850.m3u8
马兰花,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/c89d105b9661464bb8c5c5f46977f6c4/850.m3u8
南征北战,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/9557e1bfd91b4319975dfeffcc44d6b7/850.m3u8
羊城暗哨,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/215e7a6713884bcab8cc461e245531af/850.m3u8
冰山上的来客,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/c86d45b176d642738dabf9da7361653b/850.m3u8
51号兵站,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/fa6557276d644b5ea399956a6bf94e59/850.m3u8
红日,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/f2ee6e22cd894be1bc8c90b19f47ae2e/850.m3u8
战火中的青春,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/be0d797e3b494f5fa1cb6d48d29643f3/850.m3u8
英雄虎胆,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/b7fcd0d4ebb045fe8e653ee71b4ef8fc/850.m3u8
神秘的旅伴,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/ef95b9f13e2c47b882b67ef52139786a/850.m3u8
前哨,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/1e9c4ffe4002492484c0f50235299759/850.m3u8
刘三姐,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/680e102dc8614632862cf49a236def6e/850.m3u8
赛虎,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/34505162ca0848af9e23d33ed4018088/850.m3u8
犬王,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/08d97be6d296434098297a505e2f05b5/850.m3u8
特别攻击队,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/c69eed95a2cd4752850bcac109151e37/850.m3u8
地雷战,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/a90c788a458e40508615d711b8aae1af/850.m3u8
地道战,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/312e39c68cc441feb79d1c2d7e16cbbd/850.m3u8
跟踪追击,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/059096230b4e46c0b5d4929ff98435d0/850.m3u8
红牡丹,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/921b8081b58b4c2f81fb233b6c8e89ac/850.m3u8
侦察兵,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/3e4727a0fca34aa8b9774472a4908eaf/850.m3u8
三毛流浪记,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/b9ce94c233b043bebe30340f09868ed1/850.m3u8
五朵金花,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/ae639196cf3949368c1b05776bb1d4fa/850.m3u8
洪湖赤卫队,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/2a58afdece3342eaac927648a2cccabd/850.m3u8
狼牙山五壮士,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/71c649af833c43a9b61e4f5c913bbd6b/850.m3u8
战上海,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/e84b188d1bf7484fb4907d99827cbd45/850.m3u8
铁道游击队,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/46d8664dacad4dbb9c790256688048dc/850.m3u8
红孩子,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/bf55b84744d64eeaaedc5ea603855597/850.m3u8
宝葫芦的秘密,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/866474add7224067877bed430d9380ab/850.m3u8
董存瑞,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/b657281ba44a4b279f55ec860c12543b/850.m3u8
地下尖兵,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/188d5706e5774f06850e06e4f181c4bd/850.m3u8
三毛从军记,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/919a08437d44499b87b7b4903f2b2ae6/850.m3u8
小兵张嘎,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/d8c05f3ca36d48e6b1997b523e885c5c/850.m3u8
闪闪的红星,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/b90fcf1a5425479baf3a045282a1f263/850.m3u8
祖国的花朵,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/ef10a9a9b1534fe38fd4fdfdac1ed493/850.m3u8
花儿朵朵,http://hls.cntv.myalicdn.com/asp/hls/850/0303000a/3/default/53a44d8649024b58b69f4468b922b8f0/850.m3u8
上甘岭,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/c91f7aae9b8b4c578a7d9ecdf94b9dca/850.m3u8
平原游击队,http://hls.cntv.kcdnvip.com/asp/hls/850/0303000a/3/default/180ef18dec9a4edeb9d2b520d57cfc7f/850.m3u8
城南旧事,https://s1.bfzycdn.com/video/chengnanjiushi/HD国语/index.m3u8
骆驼祥子,https://vip.ffzy-play7.com/20221117/5050_2f19c8b7/index.m3u8
大决战之辽沈战役,https://vip.lzcdn2.com/20220519/6798_9666d862/index.m3u8
大决战之平津战役,https://vip1.lz-cdn1.com/20220518/6085_3a77d916/index.m3u8
大决战之淮海战役,https://vip1.lz-cdn1.com/20220518/6084_d0221890/index.m3u8
大进军席卷大西南,https://vip.ffzy-online1.com/20230816/42876_d6230045/index.m3u8
大进军南线大追歼,https://vip.ffzy-online1.com/20230816/42875_2fbf64b4/index.m3u8
大进军解放大西北,https://vip.ffzy-online1.com/20230816/42874_b43f3f4f/index.m3u8
大进军大战宁沪杭,https://vip.ffzy-online1.com/20230816/42873_6b3f5632/index.m3u8
大转折挺进大别山,https://v4.cdtlas.com/20220511/c9snnVdH/index.m3u8
大转折鏖战鲁西南,https://m3u8.mstopq.com/202306/19/CSstYSsDWd1/video/index.m3u8
大转折鏖战鲁西南,https://v9.dious.cc/20230831/3rIwdEh2/index.m3u8
巍巍昆仑,https://m3u8.mstopq.com/202306/15/zRBSnWimhD1/video/index.m3u8
地下尖兵,https://s2.bfzycdn.com/video/dixiajianbing/HD国语/index.m3u8
永不消逝的电波,https://s2.bfzycdn.com/video/yongbuxiaoshidedianbo1958/HD国语/index.m3u8
回民支队,https://vip.kuaikan-cdn4.com/20240220/XUwWyLEx/index.m3u8
